"","dates","titles","push","id"
"1",2017-06-30,"Re: [新聞] 郭台銘專機副駕駛　29日晚遭深圳邊防抓走",4,"M.1498811438.A.73F"
"2",2017-06-30,"Re: [問卦] 雄三小兵萬一又不小心按到發射怎麼辦??",1,"M.1498811440.A.E64"
"3",2017-06-30,"Re: [問卦] ID開頭有ilove的484都很中二？",-3,"M.1498811506.A.6E4"
"4",2017-06-30,"[問卦] 軍武板的板主RURILIN",3,"M.1498811529.A.DC1"
"5",2017-06-30,"Re: [新聞] Ａ濫嗆汪小菲「你叫大Ｓ靠北習近平看看」",-2,"M.1498811538.A.0B5"
"6",2017-06-30,"Re: [新聞] 郭董私人飛機副駕駛被中國抓走 鴻海：查",1,"M.1498811540.A.B66"
"7",2017-06-30,"[問卦] 要射幾顆雄三飛彈才能把遼寧號擊沉?",10,"M.1498811565.A.248"
"8",2017-06-30,"[新聞] IS領土減少60%　伊拉克總理：名存實亡",4,"M.1498811568.A.092"
"9",2017-06-30,"[問卦] 我們是主權獨立國家，未何不炸遼寧號？",10,"M.1498811575.A.B61"
"10",2017-06-30,"[新聞] UN同意縮減達福爾維和部隊",2,"M.1498811577.A.74B"
"11",2017-06-30,"Re: [新聞] 【影片】拐殺勒斃男童判無期　法官：非凌虐變態殺人",0,"M.1498811577.A.244"
"12",2017-06-30,"Re: [新聞] 共軍若攻台  美7天難擊退",7,"M.1498811630.A.BDA"
"13",2017-06-30,"[問卦] JSOW聯合遠距武器會夜裡哭哭嗎?",3,"M.1498811720.A.70E"
"14",2017-06-30,"[問卦] 台灣槍械有G會開放嗎？",3,"M.1498811723.A.AB3"
"15",2017-06-30,"Re: [問卦] 購買正版A片的掛",5,"M.1498811737.A.2ED"
"16",2017-06-30,"Re: [新聞] 交烏克蘭女友是""台男之光""? 台女點破畸形",1,"M.1498811745.A.A15"
"17",2017-06-30,"[問卦] 丁特 & 林強   墮胎爛屌還有哪些？",0,"M.1498811748.A.F14"
"18",2017-06-30,"Re: [問卦] 為何中國不成立”台灣省人民政府”",2,"M.1498811764.A.7A6"
"19",2017-06-30,"[問卦] 宗瑞家有錢 還是土豪家有錢？",6,"M.1498811787.A.DD6"
"20",2017-06-30,"[問卦] 多少錢算大錢?",5,"M.1498811794.A.491"
"21",2017-06-30,"Re: [新聞] 空軍買萬劍彈 美就售聯合遙攻武器 專",7,"M.1498811849.A.1D1"
"22",2017-06-30,"[問卦] MyCard是不是還蠻猛的",1,"M.1498811869.A.7A1"
"23",2017-06-30,"[問卦] 大叔去指考要怎麼把持住",5,"M.1498811895.A.15D"
"24",2017-06-30,"[新聞] 民調：七成台灣人反對一國兩制",10,"M.1498811895.A.7BE"
"25",2017-06-30,"[問卦] 有沒有什麼錶是平民必買的？",13,"M.1498811895.A.7A6"
"26",2017-06-30,"Re: [問卦] 有沒有懶叫為什麼叫懶叫的八卦?",7,"M.1498811898.A.3D1"
"27",2017-06-30,"Re: [新聞] 美軍艦可停台灣「台男只想到CCR」　徐閉",3,"M.1498811940.A.38C"
"28",2017-06-30,"[問卦] 有沒有新莊中原路停電的掛!?",4,"M.1498811965.A.2AE"
