"","dates","titles","push","id"
"1",2017-12-18,"Re: [新聞] 三中案 周錫瑋爆「綠營明年要關馬」",0,"M.1513561516.A.F12"
"2",2017-12-18,"Re: [問卦] 高雄電腦街為什麼這麼冷清",3,"M.1513561570.A.583"
"3",2017-12-18,"[問卦] 滿八旗那一旗最強",8,"M.1513561657.A.B32"
"4",2017-12-18,"Re: [問卦] 氣象戰是不是太誇張了?",0,"M.1513561668.A.3D0"
"5",2017-12-18,"[新聞] 中油明年推現金自助加油 提供多元支付",3,"M.1513561705.A.03C"
"6",2017-12-18,"[問卦] 大家喜歡被女老師打手手嗎?",13,"M.1513561824.A.482"
"7",2017-12-18,"[問卦] 公務員在那個縣市最爽阿",4,"M.1513561897.A.4A0"
"8",2017-12-18,"Re: [新聞] 三中案 周錫瑋爆「綠營明年要關馬」",3,"M.1513561921.A.84A"
"9",2017-12-18,"Re: [問卦] 還有多少人記得百視達？",-1,"M.1513561922.A.763"
"10",2017-12-18,"[新聞] 行政院前發言人鄭麗文 臉書宣布參選台北",-4,"M.1513561927.A.DB3"
"11",2017-12-18,"[新聞] 何守正是滿清貴族！小嫻節目證實「老公一家鑲黃旗」",3,"M.1513561947.A.46F"
"12",2017-12-18,"[問卦] 真的有人用bitcoin在交易嗎?",2,"M.1513561960.A.F50"
"13",2017-12-18,"Re: [新聞] 大陸海底撈玩很大，台灣火鍋業者氣炸了",0,"M.1513561961.A.CE5"
"14",2017-12-18,"[問卦] 黃色的旅行者出道的話有搞頭嗎?",1,"M.1513561970.A.6B3"
"15",2017-12-18,"Re: [問卦] 氣象戰是不是太誇張了?",-2,"M.1513562041.A.1BC"
"16",2017-12-18,"[問卦] 學妹突然轉學了該怎麼辦？",0,"M.1513562094.A.9F7"
"17",2017-12-18,"Re: [問卦] yahoo是怎一手好牌打到輸",2,"M.1513562112.A.02E"
"18",2017-12-18,"[問卦] 見過週遭人得癌症，仍持續惡習？",6,"M.1513562118.A.605"
"19",2017-12-18,"[問卦] 有沒有MIT台灣誌主持人的八卦?",102,"M.1513562156.A.61E"
"20",2017-12-18,"Re: [問卦] 是不是PTT本身有病？",-1,"M.1513562162.A.5DB"
"21",2017-12-18,"[問卦] 女同事有禮貌的跟我說，好，謝謝",14,"M.1513562169.A.175"
"22",2017-12-18,"[新聞] 色差？網購衣藍花變黑花業者竟睜眼說瞎話",2,"M.1513562174.A.B8D"
"23",2017-12-18,"[新聞] 爆墾丁滷味要6千 挨告網友稱是10年前",26,"M.1513562209.A.AB4"
"24",2017-12-18,"[問卦] 為什麼不廢省？",7,"M.1513562224.A.A76"
"25",2017-12-18,"Re: [新聞] 三中案 周錫瑋爆「綠營明年要關馬」",2,"M.1513562286.A.595"
"26",2017-12-18,"[問卦] LF2是不是生不逢時？",5,"M.1513562317.A.6C7"
