"","dates","titles","push","id"
"1",2017-11-27,"Re: [問卦] 幾歲認知到自己會單身一輩子?",3,"M.1511788980.A.675"
"2",2017-11-27,"[問卦] 明天考物化感覺要爆了怎麼辦？",16,"M.1511788983.A.43E"
"3",2017-11-27,"Re: [新聞] 14歲靠Google自組無人機 周延俊：國中只",3,"M.1511789144.A.734"
"4",2017-11-27,"[新聞] 勞團批惡修法 嗆政院還勞工七天假",1,"M.1511789171.A.754"
"5",2017-11-27,"[新聞] 罷昌志工洗地傳遭警關切 四叉貓：我洗地",1,"M.1511789221.A.E14"
"6",2017-11-27,"[新聞] 國民黨若要勝選 孫大千：學學蔡依林",9,"M.1511789238.A.B85"
"7",2017-11-27,"Re: [新聞] 環保署：風電環評再不過 就真的要「用愛",21,"M.1511789282.A.05F"
"8",2017-11-27,"[爆卦] 台灣籃球輸了！",-5,"M.1511789294.A.E04"
"9",2017-11-27,"[問卦] 五鐵秋葉原的掛?",9,"M.1511789299.A.6E2"
"10",2017-11-27,"[問卦] 有沒有臺北市立棒球場跟中華體育館的八卦",0,"M.1511789326.A.28B"
"11",2017-11-27,"Re: [新聞] 強力催情香水 女生吸入性慾爆增任人淫",20,"M.1511789377.A.771"
"12",2017-11-27,"Re: [新聞] 勞團批惡修法 嗆政院還勞工七天假",-1,"M.1511789401.A.3D8"
"13",2017-11-27,"[新聞] 褻瀆宗教部長下台　數千人癱瘓巴國首都",1,"M.1511789427.A.0C3"
"14",2017-11-27,"[問卦] 弟弟娶了一個俄羅斯的妹子怎麼辦？",-3,"M.1511789444.A.504"
"15",2017-11-27,"[問卦] 月收入多少才能買iPhone X啊？",7,"M.1511789528.A.11A"
"16",2017-11-27,"[問卦] 鬥魚算不算是經典的偶像劇？",3,"M.1511789533.A.FD1"
"17",2017-11-27,"[問卦] 痛車被刮的話 車主會想什麼",9,"M.1511789533.A.C18"
"18",2017-11-27,"Re: [問卦] 幾歲認知到自己會單身一輩子?",-1,"M.1511789536.A.046"
"19",2017-11-27,"[問卦]女客人留下來的發票是什麼意思...",6,"M.1511789539.A.F69"
"20",2017-11-27,"[新聞] 他月薪40K被女友逼買車 還嫌「坐機車很",-6,"M.1511789565.A.99A"
"21",2017-11-27,"Re: [新聞] 遲到1分扣100！摳門公司違勞基法判付63萬",1,"M.1511789570.A.DE0"
"22",2017-11-27,"[問卦] 勞工權益提升可以拯救台灣經濟嗎?",2,"M.1511789632.A.AAA"
"23",2017-11-27,"[問卦] 講話很失禮的人在想什麼",-1,"M.1511789633.A.BB3"
"24",2017-11-27,"[新聞] 北京一張圖震撼好萊塢明星 追問：中國最",37,"M.1511789648.A.9CD"
"25",2017-11-27,"[新聞] 軍校生疑受虐致死 重要器官全消失、大腦",19,"M.1511789666.A.395"
"26",2017-11-27,"[問卦] 杜振熙現在還會喜歡周杰倫嗎",2,"M.1511789676.A.C50"
"27",2017-11-27,"[ＦＢ] 劉宇(<U+2665>宇<U+3061><U+3083><U+3093><U+2665>) #甜蜜的親親",-19,"M.1511789691.A.9C1"
"28",2017-11-27,"Re: [爆卦] 關於高雄同遊的女學生",0,"M.1511789702.A.637"
"29",2017-11-27,"[問卦] 女地勤看到空姐時在想什麼",3,"M.1511789710.A.DE8"
"30",2017-11-27,"[新聞] 陳金德為農舍砲打中央，陳吉仲：造成農地",19,"M.1511789713.A.F0D"
"31",2017-11-27,"[問卦] 結紮之後是不是就可以放心大暴射？",6,"M.1511789726.A.706"
"32",2017-11-27,"[問卦]有沒有林鳳營廣告的八卦？",3,"M.1511789730.A.C6B"
"33",2017-11-27,"[ＦＢ] 公民廟口-亞泥展延",2,"M.1511789745.A.A2E"
"34",2017-11-27,"[問卦] 覺青到底有沒有發現 自己被騙",-3,"M.1511789771.A.E79"
"35",2017-11-27,"[問卦] 吃紅肉火龍果，會射出紅色的<U+6C35>交嗎?",4,"M.1511789782.A.947"
"36",2017-11-27,"[問卦] 有無台北市立兒童育樂中心的8掛？",1,"M.1511789791.A.453"
"37",2017-11-27,"Re: [問卦]為什麼男生會在乎169跟170的那一公分",6,"M.1511789804.A.E64"
"38",2017-11-27,"Re: [問卦] 女性友人租屋處有點弔詭的地方?",8,"M.1511789840.A.FD9"
"39",2017-11-27,"Re: [新聞] 14歲靠Google自組無人機 周延俊：國中只",7,"M.1511789858.A.A87"
"40",2017-11-27,"Re: [問卦] 五鐵秋葉原的掛?",0,"M.1511789944.A.DCE"
"41",2017-11-27,"Re: [問卦] 為什麼只有小學要做蟯蟲檢查？",1,"M.1511789947.A.59E"
"42",2017-11-27,"[新聞] GG了！自爆9個月賺342萬 知名網紅恐遭國",21,"M.1511789971.A.CCF"
"43",2017-11-27,"Re: [問卦] 光復高中和清大合併為 清大附中 有前途嗎",3,"M.1511789992.A.F9E"
"44",2017-11-27,"[問卦] 姆咪掛軸賣完 代表什麼意思",-1,"M.1511790017.A.80C"
"45",2017-11-27,"[問卦] 多久可以不用手機?",1,"M.1511790031.A.29E"
"46",2017-11-27,"[爆卦] 勞工血汗《機器人夢遊症》免費觀",4,"M.1511790042.A.348"
"47",2017-11-27,"Re: [問卦] 比特幣風險是甚麼?",9,"M.1511790048.A.82F"
"48",2017-11-27,"[新聞] 雞蛋芬普尼標準大翻盤　擬放寬至10ppb",-11,"M.1511790052.A.2E7"
"49",2017-11-27,"[新聞] 蔡英文執政青世代無感 4成感到不幸福",19,"M.1511790068.A.E5C"
"50",2017-11-27,"[問卦] 有沒有藏壽司的八卦？",5,"M.1511790112.A.A75"
"51",2017-11-27,"[新聞] 挑戰愛滋零新增 高市創愛滋、藥癮及心理",-7,"M.1511790130.A.509"
"52",2017-11-27,"Re: [新聞] 14歲靠Google自組無人機 周延俊：國中只",5,"M.1511790134.A.8FE"
"53",2017-11-27,"[問卦] 留一半清醒留一半醉",-1,"M.1511790142.A.824"
"54",2017-11-27,"Fw: [新聞] 「王力宏最不尊重金馬獎！」　三金司儀：",-5,"M.1511790147.A.628"
"55",2017-11-27,"[問卦] 真的有人會天天打手槍嗎",30,"M.1511790189.A.914"
"56",2017-11-27,"Re: [問卦] 比特幣風險是甚麼?",4,"M.1511790196.A.517"
"57",2017-11-27,"[新聞] 台灣女性晚婚晚孕　這兩項指標創新高",-2,"M.1511790206.A.323"
"58",2017-11-27,"[問卦] 台灣是不是差點出個薩利機長",1,"M.1511790226.A.A11"
"59",2017-11-27,"[問卦] 被通緝怎麼辦？",-1,"M.1511790279.A.9B2"
"60",2017-11-27,"Re: [問卦] 反托拉斯法是不是社會進步的一大阻力？",8,"M.1511790306.A.5BA"
"61",2017-11-27,"[新聞] 賴揆：一例一休修法 4不變牢牢保障勞工",-8,"M.1511790332.A.1B5"
"62",2017-11-27,"Re: [問卦] 中國是不是真的能打贏美國?",-5,"M.1511790352.A.C79"
"63",2017-11-27,"[問卦] 大家去北車補習都吃什麼？",15,"M.1511790390.A.AD6"
"64",2017-11-27,"Re: [問卦] 少奮鬥十年是什麼感覺",1,"M.1511790413.A.CAF"
"65",2017-11-27,"Re: [新聞] 4成大學生不想讀原科系 葉丙成：應重視",1,"M.1511790416.A.753"
"66",2017-11-27,"[問卦]這個便當值多少錢",14,"M.1511790424.A.347"
"67",2017-11-27,"[新聞] 中共封鎖紅黃藍虐童案 民眾怒要真相",48,"M.1511790478.A.C86"
"68",2017-11-27,"[問卦] 在空無一人的讀書室要幹嘛？",0,"M.1511790487.A.568"
"69",2017-11-27,"[問卦] 淡江理工學士畢業領多少",4,"M.1511790505.A.CF6"
"70",2017-11-27,"Fw: [新聞] 鐵達尼號粉絲吵了20年 導演：傑克必死",11,"M.1511790510.A.5E6"
"71",2017-11-27,"[問卦] 有沒有買飲料時店員都沒在聽的八卦",4,"M.1511790519.A.082"
"72",2017-11-27,"[問卦] 當初用GPU挖比特幣去買pizza的人在想啥",5,"M.1511790525.A.D65"
"73",2017-11-27,"Re: [問卦] 大家去北車補習都吃什麼？",4,"M.1511790547.A.A4A"
"74",2017-11-27,"Re: [問卦] 除了醫科 看過最晚讀大學日間的幾歲？",1,"M.1511790548.A.A4A"
"75",2017-11-27,"[ＦＢ] 嘉年華得金馬 紅黃藍股價跌",2,"M.1511790561.A.849"
"76",2017-11-27,"Re: [問卦] 如何瀟灑的跟女生說不聊了？",2,"M.1511790561.A.0B5"
"77",2017-11-27,"[問卦] 有RO手遊同時間大量玩家被盜帳號的八卦?",4,"M.1511790577.A.982"
"78",2017-11-27,"[新聞] 2017經濟代表字 經濟部次長王美花：「升",-3,"M.1511790581.A.B89"
"79",2017-11-27,"[問卦] 有人不會懷念以前的嗎？？？",6,"M.1511790592.A.19C"
"80",2017-11-27,"[問卦] 學姐一直要我吃她豆腐怎麼辦",-3,"M.1511790620.A.11E"
"81",2017-11-27,"Re: [新聞] 14歲靠Google自組無人機 周延俊：國中只",12,"M.1511790702.A.C37"
"82",2017-11-27,"[新聞] 全國語文競賽　台中偷吃步遭抓包",14,"M.1511790710.A.2BB"
"83",2017-11-27,"Re: [新聞] 雞蛋芬普尼標準大翻盤　擬放寬至10ppb",4,"M.1511790745.A.0E2"
"84",2017-11-27,"[問卦] 高中同學瘋了怎麼辦？",4,"M.1511790750.A.15F"
"85",2017-11-27,"[問卦] 痛痛貼一直貼著不撕會怎樣？",4,"M.1511790756.A.66E"
"86",2017-11-27,"[問卦] 跟瓦斯行當鄰居會不會很害怕？",0,"M.1511790763.A.D93"
"87",2017-11-27,"[問卦] 滷味有必點的東西嗎",25,"M.1511790776.A.222"
"88",2017-11-27,"[問卦] 如果某國保證台灣人人有633？",-2,"M.1511790809.A.39B"
"89",2017-11-27,"[ＦＢ] 趙天麟:將第二胎生育補助從6千拉高到60K",-10,"M.1511790824.A.CC2"
"90",2017-11-27,"[新聞] 資方自助餐？上市櫃公司前3季營收年增5%",4,"M.1511790856.A.64C"
"91",2017-11-27,"Re: [問卦] 反托拉斯法是不是社會進步的一大阻力？",0,"M.1511790858.A.9E2"
"92",2017-11-27,"Re: [問卦] 魔力寶貝",2,"M.1511790892.A.32D"
"93",2017-11-27,"Re: [問卦] 被通緝怎麼辦？",2,"M.1511790893.A.A94"
"94",2017-11-27,"[問卦] 印度2030年會變第三大經濟體?",9,"M.1511790906.A.92D"
"95",2017-11-27,"[新聞] Gogoro與油車誰好養  算給你妳看",-10,"M.1511790931.A.78C"
