"","dates","titles","push","id"
"1",2017-08-15,"[問卦] 是不是備載壓太低所以才跳電？",0,"M.1502791605.A.DF3"
"2",2017-08-15,"[問卦] 花蓮也停電了",3,"M.1502791622.A.1B8"
"3",2017-08-15,"Re: [新聞] 中油操作錯誤 大潭電廠全數跳機 頓失438.",12,"M.1502791622.A.DD3"
"4",2017-08-15,"[問卦] 停電，申請國賠問題？？",-2,"M.1502791626.A.E42"
"5",2017-08-15,"[問卦] 停電ptt會掛掉嗎？",0,"M.1502791627.A.1E0"
"6",2017-08-15,"[問卦] 有沒有跳電計程車在兇三小的八卦",6,"M.1502791645.A.5A7"
"7",2017-08-15,"Re: [新聞] 葉宜津舉311大震挺限電 「都是馬政府的錯",-5,"M.1502791657.A.54A"
"8",2017-08-15,"[問卦] 高雄停電？",3,"M.1502791659.A.02E"
"9",2017-08-15,"[問卦] 台南斷電",2,"M.1502791660.A.DB6"
"10",2017-08-15,"Re: [問卦] 如果核四有運轉今天會跳電嗎？",-1,"M.1502791661.A.960"
"11",2017-08-15,"Re: [新聞] 全台大停電中油:操作失誤 造成大潭電廠",5,"M.1502791663.A.C4D"
"12",2017-08-15,"[問卦] 飯盒是不是正式滅亡了？",3,"M.1502791674.A.200"
"13",2017-08-15,"[問卦] 中油失誤不是已經解除了嗎現在怎還在停電",9,"M.1502791691.A.695"
"14",2017-08-15,"[問卦] 台電是不是很雖小",1,"M.1502791692.A.34D"
"15",2017-08-15,"[問卦] 綠爆是怎樣<U+263A>????",-2,"M.1502791705.A.C58"
"16",2017-08-15,"[問卦] 幸福高雄怎麼還沒停電???",-5,"M.1502791712.A.87D"
"17",2017-08-15,"[問卦] 有沒有停電還有手機訊號的卦？",5,"M.1502791718.A.1FD"
"18",2017-08-15,"[問卦] 核四如果可以如期運轉，還會跳電嗎？",8,"M.1502791719.A.7B0"
"19",2017-08-15,"[問卦] 玩SimCity發電廠不夠的時候都怎麼做",23,"M.1502791725.A.B66"
"20",2017-08-15,"Re: [問卦] 請問為什麼會停電啊~",1,"M.1502791725.A.2F5"
"21",2017-08-15,"[問卦] 警察中是不是很多本來是8+9？",6,"M.1502791727.A.FF3"
"22",2017-08-15,"[問卦] 全世界都停電為何北捷正常?",2,"M.1502791727.A.74C"
"23",2017-08-15,"[問卦] 有沒有反核好友現在在想甚麼的八卦",2,"M.1502791728.A.002"
"24",2017-08-15,"[問卦] 現在是全台灣都停電嗎",8,"M.1502791729.A.D37"
"25",2017-08-15,"[問卦] 停電了捷運有開嗎？",-1,"M.1502791733.A.EB2"
"26",2017-08-15,"[問卦]  妹妹太熱而脫衣服該怎麼辦？",2,"M.1502791744.A.EE1"
"27",2017-08-15,"[問卦] 中油操作人員會被電多高?",20,"M.1502791758.A.D2F"
